	Language	Source	Date	Text
37321	Ukranian	unian.net	2011/07/23	"О.ОМЕЛЬЧЕНКО відзначив, що Вагіф АЛІЄВ (співвласник торгових і бізнес-центрів ""Мандарин Плаза"", ""Парус"", ""Арена-ситі"" - УНІАН) викупив об'єкт вже потім. «Спочатку був мій заступник Іван ХОМЕНКО і на той момент голова бюджетної комісії Київради Володимир ПРИСЯЖНЮК, — повідомив екс-мер. - Я глибоко поважаю Івана Андрійовича, який вже пішов від нас. І дуже довіряв йому свого часу. Він мене переконав, що проект потрібний, і сесія ухвалила рішення відвести це м місце на розі під будівництво… музею мерії висотою в три поверхи. Щоб не вище будівлі (театру) російської драми. Проте всієї правди мені на той момент не сказав — Бог свідок — на другому-третьому поверхах були заплановані офіси. Ну, а потім, вже за ЧЕРНОВЕЦЬКОГО, спаскудили весь проект, перепродали АЛІЄВУ, музей викинули і поставили цю дику коробку. І це більший гріх, ніж будинок на Грушевського. Коли ПОПОВ з ЦЕЛОВАЛЬНИКОМ (головний архітектор Києва Сергій ЦЕЛОВАЛЬНИК - УНІАН) заявили, що будівлю знесуть, я одразу їм передзвонив і визнав свою помилку. Це була їх сильна заява», - сказав О.ОМЕЛЬЧЕНКО."
201470	Ukranian	unian.net	2011/04/19	У повідомленні зазначається, що вже чотири сховища газу: Солохівське й Червоно-Партизанське ПСГ УМГ «Київтрансгаз», Кечигівське ПСГ УМГ «Харківтрансгаз» і другий із чотирьох газозбірних пунктів Більче-Волицького ПСГ УМГ «Львівтрансгаз» перебувають у режимі закачування, а інші 10 вийшли в нейтральний період.
118032	Ukranian	unian.net	2011/02/06	Лідер громадянського об`єднання «Новий Київ», голова Соціально-Християнської партії Зорян ШКІРЯК вважає, що завдяки новому закону про парламентські вибори Президент України Віктор ЯНУКОВИЧ і Партія регіонів хочуть остаточно узурпувати владу.
44478	Ukranian	unian.net	2011/06/05	До речі, одразу після призначення на посаду наприкінці жовтня 2010 року Толстоухов запевняв журналістів, що землі Київського зоопарку не передаватимуть інвесторам під забудову
140989	Ukranian	unian.net	2011/06/17	Засновник і провідний експерт Центру психології сім`ї «Лелека», засновник Просвітницького Фестивалю сімейних цінностей «СІМ`Я», голова правління Інституту інтеграційної психології (м. Київ), головний редактор психологічного журналу-помічника «Почни з себе», Майстер Холодинаміки, Майстер і Вчитель REIKI, автор запатентованої системи психологічного відновлення «Світлоносне дихання», автор програми духовної трансформації свідомості «Почни з себе!», переможець психологічного конкурсу в номінації «Психолог-експерт 2009 р.», переможець рейтингу «Жінка III тисячоліття» (2010 р.), автор книг «І Створив Жінку...», «Посмішка Душі».
293921	Ukranian	unian.net	2011/04/19	Як передає кореспондент УНІАН, про це глава держави сказав, закриваючи Київський саміт з питань безпечного та інноваційного використання ядерної енергії.
43552	Ukranian	unian.net	2011/04/04	Під час виступу О.ПОПОВ висловив припущення, що незаконні дозволи на землевпорядну документацію при відведенні земель у столиці надавали заступник Київського міського голови – секретар Київради Олесь ДОВГИЙ або сам мер Леонід ЧЕРНОВЕЦЬКИЙ.
33938	Ukranian	unian.net	2011/05/18	Також міністри закордонних справ досягли згоди щодо необхідності деполітизації питань захисту національних меншин в обох державах та важливості відновлення роботи механізмів моніторингу дотримання прав етнічних українців в Румунії та румунів в Україні. При цьому К.ГРИЩЕНКО зауважив, що офіційний Київ розраховує на те, що румунська сторона зверне увагу на недостатню кількість середніх навчальних закладів з українською мовою викладання та сприятиме відкриттю нових українських шкіл в місцях компактного проживання українців.
128333	Ukranian	unian.net	2011/06/24	"Як відзначив С.УЇЛЬЯМС, в ЮНЕСКО також розглядають можливість внесення Національного заповідника ""Софія Київська"" в так званий чорний список об`єктів, що перебувають під загрозою руйнування. «Причиною цього є зведення елітних житлових будинків на вулиці Гончара і Пейзажній алеї. Ці вулиці розташовані в прилеглих до заповідника буферних зонах, тому будівництво там заборонене. Супротивники зведення житлового будинку на Пейзажній алеї добилися зупинки будівництва, проте представники компанії-забудовника заявляють, що не мають наміру відмовлятися від своїх планів», - зазначало 4 серпня 2010 року видання ""Коммерсантъ-Украина""."
153835	Ukranian	unian.net	2011/04/06	На засіданні робочої групи О.БРИГИНЕЦЬ запропонував назвати Київську малу оперу іменем Євгенії Мірошниченко - видатної оперної співачки, яка ініціювала створення цього проекту. Пропозиція була підтримана робочою групою, представниками Малої Опери та сином відомої співачки Олегом.
220316	Ukranian	unian.net	2011/06/07	«Компанія у нас велика - всі губернатори, голови обласних рад. Я думаю, до обіду встигнемо привітати нашого Президента. (Подарунок даруватимемо) у складчину, у нас староста навіть є - ПРИСЯЖНЮК Анатолій (голова Київської облдержадміністрації), ось до нього всі запитання», - сказав В.ДЖАРТИ.
220238	Ukranian	unian.net	2011/07/07	Губернатор Київської області Анатолій ПРИСЯЖНЮК заявляє, що керівники областей подарують на день народження Президенту України Віктору ЯНУКОВИЧУ, якому 9 липня виповнюється 61 рік, хороші результати своєї роботи, великий каравай із хліба нового врожаю та букет польових квітів.
228077	Ukranian	unian.net	2011/06/14	За словами голови Комісії, заступника голови КМДА Руслана КРАМАРЕНКА, це має бути комплекс для утримання дельфінів та інших рідкісних морських тварин, який дозволить суттєво збільшити відвідування Київського зоопарку киянами та гостями міста.
16452	Ukranian	unian.net	2011/04/28	Як передає кореспондент УНІАН, відповідні заяви депутатів зачитала сьогодні на засіданні сесії секретар Київради Галина ГЕРЕГА.
81010	Ukranian	unian.net	2011/04/20	Зі свого боку Г.ГЕРЕГА висловила сподівання, що співпраця Київради з КМДА буде конструктивною і спрямованою на досягнення єдиної спільної мети – покращення життя киян і перетворення міста в одну з найкращих столиць Європи.
288952	Ukranian	unian.net	2011/06/05	Як повідомили УНІАН у прес-службі Київської міськдержадміністрації, участь в автопробігу візьмуть представники України, Російської Федерації та Республіки Білорусь.
76067	Ukranian	unian.net	2011/04/15	За даними КМДА, сума боргу з різниці у тарифі перед “Київенерго” становить більш як 1,3 млрд. грн., перед “Київводоканалом” – близько 570 млн. грн.
222285	Ukranian	unian.net	2011/05/17	С.ВЛАСЕНКО звернувся до Генпрокуратури з проханням змінити Ю.ЛУЦЕНКУ міру запобіжного заходу, адже вчора ГПУ змінила міру запобіжного заходу голові фракції Блоку Черновецького у Київраді Дмитру КОМАРНИЦЬКОМУ, якого звинувачують у розбійному нападі.
119103	Ukranian	unian.net	2011/03/28	Нагадаємо, Київський господарський апеляційний суд у грудні 2010 року задовольнив апеляцію управляючої компанії «Брянський машзавод», скасувавши рішення Господарського суду Києва, що визнав недійсним договір купівлі-продажу 76,001% акцій холдингової компанії «Луганськтепловоз».
212438	Ukranian	unian.net	2011/03/28	Про це УНІАН повідомили у прес-службі Волинської єпархії Української православної церкви Київського патріархату.
154990	Ukranian	unian.net	2011/04/05	Як повідомляв УНІАН, Ю.ЛУЦЕНКО 28 квітня письмово поінформував керівництво Київського СІЗО про відмову приймати їжу, але з проханням дозволити пити чай і каву з цукром.
33983	Ukranian	unian.net	2011/04/14	“Не дивлячись на те, що ставиться питання про заміну секретаря Київради ДОВГОГО, за заміну якого депутати «БЮТ-Батьківщини», безумовно, будуть голосувати, на сьогодні його заміна означатиме призначення на посаду «клона» ПОПОВА, тобто людини, яка беззаперечно виконуватиме волю провладної сили”, впевнені у фракції.
126414	Ukranian	unian.net	2011/05/04	Так, у коментарі УНІАН юрист компанії «Ілляшев та партнери» Роман МАРЧЕНКО заявив: «У спорі про маршрут «Київ-Лондон-Київ» однозначно правий «АероСвіт». У Фонду державного майна України не було таких повноважень давати в статуті «МАУ» ексклюзивне право на польоти. Це було перевищення повноважень із боку ФДМУ. Що в принципі може закінчитися кримінальною справою. Цей пункт у статуті «МАУ» просто неправомочний і нікчемний. Це все одно, що я напишу в статуті свого ТОВ, що я власник Маріїнського палацу».
296630	Ukranian	unian.net	2011/04/29	У Київській області у суботу вночі без опадів, вдень місцями невеликий короткочасний дощ, гроза. Вітер північно-східний, 5-10 м/с. Температура вночі 7-12°, вдень 18-23°. У Києві температура вночі близько 10°, вдень 20-22°.
24574	Ukranian	unian.net	2011/04/07	"Як повідомляв УНІАН, 29 грудня 2010 року у Києві була зареєстрована благодійна організація ""Муніципальна лікарняна каса"". Цього ж дня у банку ""Київська Русь"" було відкрито розрахунковий рахунок 2600694706001, на який усі, хто бажає стати членом лікарняної каси, можуть вносити членські внески."
116968	Ukranian	unian.net	2011/05/20	«Сьогодні був з`їзд і заступника голови Київської міської організації на нього не пустили, мотивувавши, що його не було в списках. Те саме відбулося і з деякими іншими делегатами», - сказав він.
60619	Ukranian	unian.net	2011/04/29	Він також зазначив, що посилювати ІТ-освіту насамперед потрібно в так званих «кластерах», тобто у вузах тих міст, де ІТ-спеціальності вже викладаються на високому рівні. Це - Київ, Харків, Львів, Донецьк і Луганськ.
133937	Ukranian	unian.net	2011/07/23	«Мене, щоправда, у цьому контексті ніхто не згадує — будівництво розпочалося після мене. Але дозвіл-то Київрада дала при мені. Я про це ще не говорив. Але зобов'язаний сказати правду, щоб остаточно поставити хрест на цьому ганебному об'єкті», — сказав він.
173051	Ukranian	unian.net	2011/07/26	Влітку 2010 р. Київський райсуд ухвалив рішення узяти під варту С.КАЗАЧЕНКА і В.ВОЛКОВА.
1953	Ukranian	unian.net	2011/07/25	Він зазначив, що будівництво дороги та реконструкція дамби проводились у рамках підготовки області до проведення Гран-прі України чемпіонату світу з перегонів на моторних човнах у класі «Формула-1», що відбудеться 29-30 липня 2011 року у місті Вишгород на Київському водосховищі.
217223	Ukranian	unian.net	2011/08/07	По Київській області мінлива хмарність. Вночі без опадів, вдень короткочасний дощ, місцями гроза. Вітер західний, 5-10 м/с. Температура вночі - 13-18°, вдень - 24-29°.
82997	Ukranian	unian.net	2011/03/31	За його словами, з цим рішенням складна ситуація щодо його виконання, оскільки воно вступає в суперечність із чинним законодавством і викликає протести підприємців. О.ПОПОВ звернув увагу, що вже пройшли акції протесту торгуючих у МАФах, а також є звернення громадських організацій національного рівня щодо того, що це рішення Київради потрібно корегувати. За словами керівника КМДА, ця корекція може стосуватися як термінів набуття чинності документа, так і підходів до реалізації згаданої продукції.
