	Language	Source	Date	Text	CurrentYear	Year	Year_Numeric
33	Latvian	diena.lv	2011/08/22	Tajā ar saviem darbiem piedalās individuāli strādājoši meistari un mākslinieki no tautas lietišķās mākslas studijām, tajā skaitā metālkalēju, rotu un tekstilmākslas studijas no Rīgas, portālu Diena.lv informēja Rīgas domes Izglītības, kultūras un sporta departamenta sabiedrisko attiecību projektu vadītāja Indra Vilde.	2022	2011	2011
1	Latvian	diena.lv	2011/09/01	Kā aģentūru LETA informēja policijas Rīgas reģiona pārvaldes preses pārstāvis Toms Sadovskis, saskaņā ar policijas rīcībā esošo informāciju pirmās skolas dienas pasākumi Rīgā pagaidām norit mierīgi - cilvēki ar interesi apmeklē pasākumus Vērmanes dārzā, un līdz šim skolēni nekādas ievērojamas nekārtības galvaspilsētas ielās nav izraisījuši.	2022	2011	2011
4	Latvian	diena.lv	2011/09/28	Taču vides draugi apgalvo, ka pie pašreizējiem ciršanas apjomiem bioloģiskā daudzveidība Latvijas mežos samazinās. Turklāt par mežu var runāt gan vispārīgi, gan konkrēti. Es visnotaļ mierīgi varu runāt par iespēju mežos kopumā cirst par miljonu kubikmetru gadā vairāk vai mazāk. Taču, kad reiz Saulkrastos nocirta puduri ar ļoti vecām eglēm, kuru galotnēs šūpojoties binoklī stundām biju vērojis apkārtējo ainavu līdz pat skaidri saskatāmajiem Rīgas torņiem, es tajā vietā jutos nelaimīgs vairākus gadus.	2022	2011	2011
13	Latvian	diena.lv	2011/10/10	Viņa norādīja, ka tostarp centralizētā siltumapgāde pievienota 220 bērnudārziem, skolām, slimnīcām un citām ārstniecības iestādēm, 136 dzīvojamajām ēkām,182 nedzīvojamajām ēkām birojiem un vienam Rīgas pašvaldības apsaimniekošanā esošam namam.	2022	2011	2011
16	Latvian	diena.lv	2011/10/19	Savukārt Latvijas skatītājiem decembrī būs iespēja redzēt Cirque du Soleil klasisko šovu Saltimbanco – ar mūziķiem, dejotājiem, klauniem un akrobātiem (kopumā trupas repertuārā ir 22 iestudējumi). Interese par Saules cirka viesošanos ir tik liela, ka šonedēļ tika izziņota papildizrāde: uzvedums Saltimbanco būs skatāms Arēnā Rīga 21., 22., 23. un 25. decembrī.	2022	2011	2011
17	Latvian	diena.lv	2011/10/31	Svētdien Kārsavas muitas kontroles punktā, veicot kontroli pasažieru vilcienā Sanktpēterburga-Rīga, VID muitas amatpersonas konstatēja, ka 47 gadus veca Latvijas pilsone un 33 gadus vecs Latvijas pilsonis savās ceļasomās un kupejā zem matrača cenšas noslēpt no muitas kontroles 71 860 Armada, Bayron, Kiss, Lifa, More, Next, Style un Winston marku cigaretes ar Krievijas Federācijas akcīzes nodokļa markām.	2022	2011	2011
7	Latvian	diena.lv	2011/11/14	Uz jautājumu, vai Ušakova dalība šajā parakstu vākšanā, kas izsaukusi milzīgu ažiotāžu, ir savienojama ar Rīgas mēra amatu, Ameriks atbildēja, ka Ušakovam kā pilsonim ir tiesības uz savu viedokli, to viņš arī ir pamatojis. Jebkurā gadījumā tam neesot sakara ar darbu pašvaldības vadībā.	2022	2011	2011
12	Latvian	diena.lv	2011/11/17	"Vērtējot koalīcijas veidošanas procesu, N.Ušakovs atzina, ka viena no kļūdām SC bijusi ""draudzēšanās ar Zatlera reformu partiju"". ""Tobrīd nesapratām, ka Zatlers nekontrolē ne savu frakciju, ne arī partiju un nav saimnieks pats savam vārdam,"" paskaidroja Rīgas domes priekšsēdētājs."	2022	2011	2011
20	Latvian	diena.lv	2011/11/17	Pirmo disciplinārlietu pret Puķīti Štokenbergs ierosināja par iespējamo pārkāpumu, nenodrošinot IeVP grāmatvedības uzskaiti atbilstoši normatīvajos aktos noteiktajam, neizveidojot IeVP efektīvu iekšējās kontroles sistēmu un rīkojoties nelietderīgi ar valsts finanšu līdzekļiem. Disciplinārlieta ierosināta pēc Valsts kontroles sniegtā atzinuma, kurā neesot gūta pārliecība par Rīgas Centrālcietuma pārskatā uzrādīto grāmatvedības datu pilnīgumu un precizitāti.	2022	2011	2011
27	Latvian	diena.lv	2011/11/17	Cenu diapazons, kādā notiek darījumi, ir visai plašs, un ir atkarīgs no apdares veida, projekta, tā atrašanās vietas un citiem faktoriem. Jauno projektu dzīvokļu cenas Pierīgā oktobrī bija 700-850 eiro par kvadrātmetru, Rīgas mikrorajonos - 900-1400 eiro par kvadrātmetru, Rīgas centrā - 1100-1600 eiro par kvadrātmetru, bet labās vietās esošos projektos centrā sasniedza 2500-5000 eiro par kvadrātmetru.	2022	2011	2011
